id;name;user_id
745664;WIFI B&B , BATH, TWO BEDS, CENTER, AWESOME.;3591751
747873;Stylish apartment in the city center;1625657
748854;Host family in the center of Madrid;1888816
749957;Estudio en el Paseo del Pintor Rosa;124972
750257;Holiday Estudio Madrid Center;130907
751527;Gran apartamento Plaza de España (ref. VT-2053);3951702
751530;Downtown Apartment.PLAZA MAYOR.Wifi.Cozy.Cleansed.;3898452
752424;2br Apartment La Latina / Rastro;216570
752515;WIFI. Big Bargain. Cosy. Charm. :);3438657
752883;ALQUILO HABITACIÓN MUY LUMINOSA. MÍNIMO 6 MESES;3960415
754678;APARTMENT IN THE CENTRE OF MADRID.;3961468
755535;SINGLE BED & VERY NICE GREEN ROOM.;2536524
755587;Centro/Apartm/Plaza Mayor/Wifi/cozy;3898452
756707;★THE GEM. Steps away from everywhere★;3983613
759575;Madrid center-Fuencarral pedestrian;690223
760482;Dúplex-Penthouse Cuzco-Castellana Smart;4008643
761095;Compostela Suites Madrid Airport / 2BD;4012305
761098;Compostela Suites Madrid Aeropuerto;4012305
761159;DOWNTOWN-APARTMENT-PLAZA MAYOR-COZY-WIFI-PARKING.;4012290
761195;Compostela Suites Madrid Airport;4012305
762701;Madrid Apartment Esparteros;378073
763214;ROYAL PALACE - THE OLD TOWN MADRID;4032439
766160;Estudio en pleno centro de Madrid;4036376
768311;Precioso estudio y terraza en el corazón de Madrid;4053105
769210;Amplia habitación 1 persona;2695144
770883;BEAUTIFUL HOUSE CENTER MADRID WIFI;1528106
772646;Hermoso loft Puerta del Sol centro - María;3606346
773608;Centric bright large room in Malasaña;2991925
773990;Apartamento en Centro Madrid +WIFI;4083688
774008;PADDLE POOL ROOM LUXURY;4083766
774356;single room in Malasaña, Madrid;3214130
779960;Sunny loft close to museums and Atocha;4112877
780397;Nice flat in Madrid city centre;4068975
781012;Single room in La Latina citycenter;4118311
783647;alquilo habitacion con baño;4132185
785834;Great location in front of Park;124972
793618;Luxury home in an old Convent.;4180632
793622;NEW BETWEEN GRAN VIA AND SOL (WIFI);4181071
795877;Prime location 40 m PLaza MAYOR;4192385
797030;Cosy flat with terrace near subway;4198169
798091;Apartment in historic center Madrid;4203067
804681;Habitacion cerca del aeropuerto Barajas;4235741
814586;Charmy Apartment Chueca's Square;4277536
814647;Alojamiento en familia, Madrid;4159117
814731;Apartamento vistas a la Catedral.;4280501
814870;Cozy room in Madrid - Atocha (3);4281126
817184;wonderful apartment in the center.;4292037
821860;Madirid Historical Center.Bathroom;4280501
828095;Your Room in Madrid;2333408
831616;Charming Loft in Madrid center;4354906
832102;Apartment in Chamberi;4356259
833871;Beautiful apartment in the center;4292037
834562;NICE FAMILY APARTMENT 120SQ. METER;4365768
